代码,名称,流通A股(万股),总股本(万股)
sz300074,华平股份,52800,54321.3
sz300075,数字政通,38827.881,39548.131
sz300076,GQY视讯,42400,42400
sz300077,国民技术,55761.5,56364
sz300078,思创医惠,62553.582,80788.5334
sz300079,数码科技,137779.3862,137779.3862
sz300080,易成新能,50280.4021,50280.4021
sz300081,恒信东方,33500,51460.7876
sz300082,奥克股份,67392,67392
sz300083,劲胜智能,113274.738,143214.5568
sz300084,海默科技,31255.8218,38476.5738
sz300085,银之杰,62920,68401.3769
sz300086,康芝药业,44215.3936,45000
sz300087,荃银高科,32576.2,32576.2
sz300088,长信科技,111715.064,114943.9907
sz300089,文化长城,40798.8659,43480.014
sz300090,盛运环保,105898.907,131995.2922
sz300091,金通灵,52250,52250
sz300092,科新机电,22750,23779.75
sz300093,金刚玻璃,21527.1,21600
sz300094,国联水产,77837.562,78384.562
sz300095,华伍股份,31330.2,37855.4854
sz300096,易联众,43000,43000
sz300097,智云股份,22666.9327,26894.9835
sz300098,高新兴,77179.7299,110658.7571
sz300099,精准信息,52206.1222,66039.9255
sz300100,双林股份,28474.9,39795.1246
sz300101,振芯科技,55600,55600
sz300102,乾照光电,68250.1938,70455.3311
sz300103,达刚路机,14857.0528,21173.4
sz300104,乐视网,185415.0852,199472.0096
sz300105,龙源技术,51321.6,51321.6
sz300106,西部牧业,21029.8796,21133.231
sz300107,建新股份,54433.8522,54433.8522
sz300108,吉药控股,33217.4748,63601.4674
sz300109,新开源,11573.5877,17048.2422
sz300111,向日葵,111980,111980
sz300112,万讯自控,23119.8593,26243.0197
sz300113,顺网科技,68807.2468,69337.0958
sz300114,中航电测,45630,59076.0499
sz300115,长盈精密,90027.8149,90314.9817
sz300116,坚瑞沃能,89110.6218,243252.4564
sz300117,嘉寓股份,71676,71676
sz300118,东方日升,63377.382,90461.6941
sz300119,瑞普生物,38914.6281,40449.3463
sz300120,经纬电材,20454.5976,20454.5976
sz300121,阳谷华泰,28416.8,28922
sz300122,智飞生物,160000,160000
sz300123,太阳鸟,28516.6318,30172.541
sz300124,汇川技术,160629.2725,166511.1931
sz300125,易世达,9218,11800
sz300126,锐奇股份,27165.3504,30540.88
sz300127,银河磁体,32314.636,32314.636
sz300128,锦富技术,80522.5524,84162.724
sz300129,泰胜风能,61955.99,72708.718
sz300130,新国都,23987.274,23987.274
sz300131,英唐智控,80881.1976,106952.6426
sz300132,青松股份,38592,38592
sz300133,华策影视,153946.7397,174662.5521
sz300134,大富科技,76749.8006,76749.8006
sz300135,宝利国际,92160,92160
sz300136,信维通信,90112.9219,98283.4638
sz300137,先河环保,34120.5089,34439.5344
sz300138,晨光生物,30323.5063,36695.4422
sz300139,晓程科技,27400,27400
sz300140,中环装备,24400,34515.4706
sz300141,和顺电气,25044.96,25044.96
sz300142,沃森生物,140400,153743.6984
sz300143,星普医科,14740,28838.7118
sz300144,宋城演艺,137217.2375,145260.78
sz300145,中金环境,101215.1455,120214.8734
sz300146,汤臣倍健,145602.188,147012.188
sz300147,香雪制药,66147.6335,66147.6335
sz300148,天舟文化,65773.3587,84493.4446
sz300149,量子高科,42210,42210
sz300150,世纪瑞尔,54000,54000
sz300151,昌红科技,50239.453,50250
sz300152,科融环境,71280,71280
sz300153,科泰电源,32000,32000
sz300154,瑞凌股份,44700,44700
sz300155,安居宝,54337.0602,54337.0602
sz300156,神雾环保,72180,101002.4415
sz300157,恒泰艾普,69410.9032,71277.208
sz300158,振东制药,29047.8,51952.933
sz300159,新研股份,103041.6172,149036.0202
sz300160,秀强股份,59238.1114,59776
sz300161,华中数控,16641.7897,17279.1187
sz300162,雷曼股份,32510.7714,34951.003
sz300163,先锋新材,47400,47400
sz300164,通源石油,38016,44926.2159
sz300165,天瑞仪器,46176,46176
sz300166,东方国信,103442.5911,104996.948
sz300167,迪威视讯,30024,30024
sz300168,万达信息,101757.89,103108.2642
sz300169,天晟新材,30815.6527,32598.434
sz300170,汉得信息,81279.0507,85788.7869
sz300171,东富龙,62833.704,62833.704
sz300172,中电环保,50700,50700
sz300173,智慧松德,40513.3554,58618.0503
sz300174,元力股份,24480,24480
sz300175,朗源股份,47080,47080
sz300176,鸿特精密,10728,10728
sz300177,中海达,43692.3611,44676.3611
sz300178,腾邦国际,54200.134,55627.404
sz300179,四方达,47520,47740.735
sz300180,华峰超纤,39090.625,47500
sz300181,佐力药业,53856,60862.4848
sz300182,捷成股份,213123.7444,255496.8807
sz300183,东软载波,44935.6425,45326.4857
sz300184,力源信息,37657.9411,65819.7404
sz300185,通裕重工,326774.3928,326774.3928
sz300187,永清环保,60352.326,64854.2285
sz300188,美亚柏科,45374.3024,49634.0506
sz300189,神农基因,102400,102400
sz300190,维尔利,39734.8986,45228.4906
sz300191,潜能恒信,32000,32000
sz300192,科斯伍德,24255,24255
sz300193,佳士科技,50106.6324,50768.609
sz300194,福安药业,81530.4287,118971.2382
sz300195,长荣股份,28939.9378,43348.363
sz300196,长海股份,19200,21224.8038
sz300197,铁汉生态,145718.1829,151965.3615
sz300198,纳川股份,91492.83,103154.854
sz300199,翰宇药业,85400.9816,93469.254
sz300200,高盟新材,21360,26065.1171
sz300201,海伦哲,86402.0865,102856.281
sz300202,聚龙股份,54950.4,54950.4
sz300203,聚光科技,44899.225,45280.025
sz300204,舒泰神,47304.881,47815.7606
sz300205,天喻信息,43005.6,43005.6
sz300206,理邦仪器,58500,58500
sz300207,欣旺达,127205.31,129191.25
sz300208,恒顺众昇,74947.5,76652.5
sz300209,天泽信息,23760.856,29212.2316
sz300210,森远股份,43652.52,48421.9953
sz300211,亿通科技,30267.5973,30267.5973
sz300212,易华录,32160,36978.6157
sz300213,佳讯飞鸿,51463.8616,57466.5018
sz300214,日科化学,40500,40500
sz300215,电科院,75832.2487,75832.2487
sz300216,千山药机,36143.492,36143.492
sz300217,东方电热,127349.3706,127349.3706
sz300218,安利股份,21698.7,21698.7
sz300219,鸿利智汇,67029.9996,67097.5693
sz300220,金运激光,12600,12600
sz300221,银禧科技,40607.7,50568.847
sz300222,科大智能,49153.8717,72812.3556
sz300223,北京君正,16643.4198,16643.4198
sz300224,正海磁材,74356.8661,83512.9111
sz300225,金力泰,47034,47034
sz300226,上海钢联,15600,15943.75
sz300227,光韵达,13586.4,14977.7652
sz300228,富瑞特装,47063.0092,47390.5092
sz300229,拓尔思,43849.1157,47163.7546
sz300230,永利股份,29074.464,45344.7801
sz300231,银信科技,33573.735,34250.955
sz300232,洲明科技,51306.3116,63032.4972
sz300233,金城医药,25309.44,39315.2238
sz300234,开尔新材,26400,28953.4588
sz300235,方直科技,15840,16783.109
sz300236,上海新阳,19376.5944,19376.5944
sz300237,美晨科技,56612.455,80726.2506
sz300238,冠昊生物,19218.3498,26515.5701
sz300239,东宝生物,46087.4108,46087.4108
sz300240,飞力达,36555.975,36555.975
sz300241,瑞丰光电,22112.1478,27649.9613
sz300242,明家联合,49980.1896,63717.4024
sz300243,瑞丰高材,20686.4592,20686.4592
sz300244,迪安诊断,49018.9453,55102.9453
sz300245,天玑科技,26794.5795,27162.7395
sz300246,宝莱特,14608.8,14608.8
sz300247,乐金健康,61136.8186,80469.8313
